PRODUTO;QTDE
4011;40
4011;40
4011;40
4011;60
4011;60
4011;10
4011;10
4011;10
4011;35
4011;60
4011;70
4011;50
4011;50
4011;50
4011;50
4011;70
4011;7
4011;15
4011;50
4011;50
4011;50
4011;50
4011;50
4011;50
4011;50
4011;16
4011;15
4011;15
4011;15
4011;150
4011;10
4011;10
4011;10
4011;5
4011;5
4011;60
4011;30
4011;30
4011;30
4011;10
4011;80
4011;10
4011;25
4011;25
4011;25
4011;25
4011;40
4011;40
4011;30
4011;30
4011;4
4011;30
4011;10
4011;10
4011;10
4011;100
4011;1
4011;1
4011;10
4011;10
4011;10
4011;10
4011;20
4011;20
4011;150
4011;20
4011;20
4011;10
4011;10
4011;10
4011;5
4011;15
4011;3
4011;3
4011;3
4011;3
4011;3
4011;3
4011;20
4011;2
4011;2
4011;10
4011;20
4011;20
4011;3
4011;35
4011;27
4011;10
4011;3
4011;25
4011;16
4011;4
4011;4
4011;4
4011;5
4011;5
4011;5
4011;88
4011;2
4011;2
4011;20
4011;20
4011;20
4011;3
4011;3
4011;100
4011;100
4011;100
4011;6
4011;6
4011;20
4011;6
4011;6
4011;10
4011;10
4011;10
4011;15
4011;10
4011;5
4011;2
4011;5
4011;10
4011;10
4011;10
4011;10
4011;30
4011;5
4011;5
4011;5
4011;2
4011;2
4011;2
4011;1
4011;10
4011;10
4011;10
4011;4
4011;4
4011;5
4011;10
4011;10
4011;130
4011;25
4011;25
4011;25
4011;20
4011;20
4011;20
4011;25
4011;25
4011;25
4011;10
4011;10
4011;10
4011;20
4011;20
4011;20
4011;30
4011;30
4011;30
4011;15
4011;15
4011;15
4011;30
4011;30
4011;30
4011;20
4011;20
4011;20
4011;25
4011;25
4011;25
4011;25
4011;25
4011;25
4011;15
4011;15
4011;15
4011;20
4011;20
4011;20
4011;10
4011;20
4011;15
4011;20
4011;30
4011;20
4011;20
4011;4
4011;4
4011;20
4011;20
4011;10
4011;10
4011;10
4011;10
4011;2
4011;3
4011;3
4011;3
4011;3
4011;4
4011;4
4011;10
4011;10
4011;20
4011;20
4011;20
4011;20
4011;2
4011;2
4011;2
4011;10
4011;10
4011;10
4011;5
4011;5
4011;44
4011;15
4011;132
4011;132
4011;132
4011;30
4011;7
4011;2
4011;6
4011;20
4011;15
4011;10
4011;20
4011;10
4011;7
4011;15
4011;30
4011;20
4011;6
4011;20
4011;20
4011;20
4011;20
4011;10
4011;10
4011;1
4011;1
4011;1
4011;10
4011;20
4011;15
4011;20
4011;20
4011;20
4011;20
