EMISSAO;CLIENTE;PRODUTO;QTDE;REPRESENTANTE;META DE VENDA MENSAL
24/01/2023;NUTRICIONALE COM DE ALIM LTDA;4059;10;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
24/01/2023;NUTRICIONALE COM DE ALIM LTDA;4059;10;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
24/01/2023;NUTRICIONALE COM DE ALIM LTDA;4059;10;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
12/05/2023;DISTR REDEPAS COM ATAC DE PROD P SM LTDA;4059;3;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
25/05/2023;DISTR REDEPAS COM ATAC DE PROD P SM LTDA;4059;1;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
07/06/2023;COML SAKASHITA DE SM LTDA;4059;2;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
07/06/2023;COML SAKASHITA DE SM LTDA;4059;2;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
07/06/2023;COML SAKASHITA DE SM LTDA;4059;2;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
07/06/2023;COML SAKASHITA DE SM LTDA;4059;1;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
07/06/2023;COML SAKASHITA DE SM LTDA;4059;1;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
07/06/2023;COML SAKASHITA DE SM LTDA;4059;1;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
12/06/2023;DISTR REDEPAS COM ATAC DE PROD P SM LTDA;4059;2;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
12/06/2023;HEIWA SM LTDA;4059;1;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
12/06/2023;HEIWA SM LTDA;4059;1;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
12/06/2023;HEIWA SM LTDA;4059;1;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
12/06/2023;HEIWA SM LTDA;4059;1;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
12/06/2023;HEIWA SM LTDA;4059;1;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
12/06/2023;HEIWA SM LTDA;4059;1;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
24/01/2023;SM RONDON LTDA;4117;50;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
24/01/2023;SM RONDON LTDA;4117;50;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
26/01/2023;ATAC REDEMAIS LTDA;4117;1;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
26/01/2023;TAKADA E TAKATA LTDA;4117;20;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
26/01/2023;BANDEIRANTE SM BRASIL LTDA;4117;40;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
26/01/2023;BANDEIRANTE SM BURITAMA LTDA;4117;20;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
16/02/2023;DISTR REDEPAS COM ATAC DE PROD P SM LTDA;4117;19;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
30/03/2023;REDE SOL DISTR ATAC DE PROD ALIM LTDA;4117;14;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
12/05/2023;DISTR REDEPAS COM ATAC DE PROD P SM LTDA;4117;11;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
15/05/2023;REDE SOL DISTR ATAC DE PROD ALIM LTDA;4117;24;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
25/05/2023;SM RONDON LTDA;4117;50;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
25/05/2023;SM RONDON LTDA;4117;50;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
25/05/2023;SM RONDON LTDA;4117;50;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
25/05/2023;SM RONDON LTDA;4117;50;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
25/05/2023;DISTR REDEPAS COM ATAC DE PROD P SM LTDA;4117;15;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
25/05/2023;ATAC REDEMAIS LTDA;4117;7;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
07/06/2023;ATAC REDEMAIS LTDA;4117;9;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
12/06/2023;DISTR REDEPAS COM ATAC DE PROD P SM LTDA;4117;15;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
16/02/2023;DISTR REDEPAS COM ATAC DE PROD P SM LTDA;4118;13;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
12/05/2023;DISTR REDEPAS COM ATAC DE PROD P SM LTDA;4118;9;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
25/05/2023;DISTR REDEPAS COM ATAC DE PROD P SM LTDA;4118;12;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
12/06/2023;DISTR REDEPAS COM ATAC DE PROD P SM LTDA;4118;7;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
30/03/2023;REDE SOL DISTR ATAC DE PROD ALIM LTDA;4783;12;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
15/05/2023;REDE SOL DISTR ATAC DE PROD ALIM LTDA;4783;27;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
24/01/2023;NUTRICIONALE COM DE ALIM LTDA;4011S;40;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
24/01/2023;NUTRICIONALE COM DE ALIM LTDA;4011S;40;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
24/01/2023;NUTRICIONALE COM DE ALIM LTDA;4011S;40;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
24/01/2023;SM RONDON LTDA;4011S;60;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
24/01/2023;SM RONDON LTDA;4011S;60;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
26/01/2023;ARROZ ESTRELA EIRELI;4011S;10;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
26/01/2023;ARROZ ESTRELA EIRELI;4011S;10;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
26/01/2023;ARROZ ESTRELA EIRELI;4011S;10;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
26/01/2023;ATAC REDEMAIS LTDA;4011S;35;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
27/01/2023;SM PORECATU LTDA;4011S;60;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
20/02/2023;SM PORECATU LTDA;4011S;70;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
20/02/2023;NUTRICIONALE COM DE ALIM LTDA;4011S;50;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
20/02/2023;NUTRICIONALE COM DE ALIM LTDA;4011S;50;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
20/02/2023;NUTRICIONALE COM DE ALIM LTDA;4011S;50;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
24/02/2023;A DAHER & CIA LTDA;4011S;50;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
27/03/2023;SM PORECATU LTDA;4011S;70;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
30/03/2023;REDE SOL DISTR ATAC DE PROD ALIM LTDA;4011S;7;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
15/05/2023;REDE SOL DISTR ATAC DE PROD ALIM LTDA;4011S;15;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
25/05/2023;NUTRICIONALE COM DE ALIM LTDA;4011S;50;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
25/05/2023;NUTRICIONALE COM DE ALIM LTDA;4011S;50;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
25/05/2023;NUTRICIONALE COM DE ALIM LTDA;4011S;50;D'ROSA REPR COM LTDA / LD REPRESENTACOES;
