EMISSAO;PEDIDO;CLIENTE;PRODUTO;DESCRICAO;QTDE;VALOR;TOTAL;REPRESENTANTE
12/01/2023;32212;CENTRO DE ALIM LTDA;4059;AZEITE OLIVA EXT VIRG TRADICAO LT 24X200ML;20;201,12;4022,4;AGEGON REPR COML LTDA
12/01/2023;32216;CSM PIZZARIA LTDA;4448S;OLEO COMP SOJA E OLIVA TRADICAO GAL 4X5,01LT;1;315,35;315,35;AGEGON REPR COML LTDA
12/01/2023;32217;CSTS PIZZARIA LTDA;4448S;OLEO COMP SOJA E OLIVA TRADICAO GAL 4X5,01LT;1;315,35;315,35;AGEGON REPR COML LTDA
12/01/2023;32218;CCS PIZZARIA LTDA;4448S;OLEO COMP SOJA E OLIVA TRADICAO GAL 4X5,01LT;2;315,35;630,7;AGEGON REPR COML LTDA
12/01/2023;32219;CSM PIZZARIA LTDA;4448S;OLEO COMP SOJA E OLIVA TRADICAO GAL 4X5,01LT;2;315,35;630,7;AGEGON REPR COML LTDA
12/01/2023;32220;CST PIZZARIA LTDA;4448S;OLEO COMP SOJA E OLIVA TRADICAO GAL 4X5,01LT;2;315,35;630,7;AGEGON REPR COML LTDA
24/01/2023;32175;HIGA PROD ALIM LTDA;4117;AZEITE OLIVA EXT VIRG BARCELONA FR 12X500ML;30;174,2;5226;AGEGON REPR COML LTDA
24/01/2023;32175;HIGA PROD ALIM LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;50;199,9;9995;AGEGON REPR COML LTDA
24/01/2023;32173;HIGA PROD ALIM LTDA;4117;AZEITE OLIVA EXT VIRG BARCELONA FR 12X500ML;200;174,2;34840;AGEGON REPR COML LTDA
24/01/2023;32173;HIGA PROD ALIM LTDA;4011S;AZEITE OLIVA EXT VIRG TRADICAO VD 20X500ML;80;334,5;26760;AGEGON REPR COML LTDA
24/01/2023;32173;HIGA PROD ALIM LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;100;199,9;19990;AGEGON REPR COML LTDA
24/01/2023;32174;HIGA PROD ALIM LTDA;4011S;AZEITE OLIVA EXT VIRG TRADICAO VD 20X500ML;20;334,5;6690;AGEGON REPR COML LTDA
24/01/2023;32174;HIGA PROD ALIM LTDA;4117;AZEITE OLIVA EXT VIRG BARCELONA FR 12X500ML;100;174,2;17420;AGEGON REPR COML LTDA
24/01/2023;32174;HIGA PROD ALIM LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;50;199,9;9995;AGEGON REPR COML LTDA
24/01/2023;32185;RIO DAS PEDRAS COM DE HORTIFRUTI E MERC LTDA;4073;AZEITE OLIVA EXT VIRG TRADICAO GAL 4X5,01LT;15;670;10050;AGEGON REPR COML LTDA
08/02/2023;32433;SUPER SETE SM LTDA;4011S;AZEITE OLIVA EXT VIRG TRADICAO VD 20X500ML;5;382;1910;AGEGON REPR COML LTDA
